Field Site,Latitude,Longitude ,Field Site Type,Registration,Mean Annual Precipitation,Average Annual Temperature,Geology,Land Cover,Climate,Sub-Climate,Network(s),Soil Order,Study Start Date,Hydrology: Surface water stream order,Hydrology: Surface water - Stream Flow Performance,Hydrology: Groundwater
Koiliaris River Basin CZO,35.519064,24.059445,International CZO,Unregistered,1363 millimeters / year,15°C,"unconsolidated materials, carbonate, igneous-felsic intrusive","Agriculture- Pasture, Agriculture- Crops",Mediterranean,,SoilTrEC,Entisol,,,Perennial,
Konza Prairie Biological Station,39.08333333,-96.58333333,US affiliate,Registered,835 millimeters / year,13°C,"shale, other sedimentary",Grassland/Herbaceous,Temperate,,"LTER, LTSE, NEON","Alfisol, Mollisol",1979,Fifth Order,Intermittent,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Krycklan Catchment Study ,64.242222,19.741745,International CZO,Unregistered,623 millimeters / year,2°C,other igneous,"Developed- Low, Evergreen Forest, Mixed Forest, Woody Wetlands, Herbaceous Wetlands, Open Water",Boreal,Subhumid,None,Histosol,1979,"First Order, Second Order, Third Order, Fourth Order",Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
La Campana,-32.960205,-71.100769,Interntaional affiliate,Registered,600 millimeters / year,,igneous-felsic intrusive,"Mixed Forest, Shrubland",Mediterranean,Semiarid,EarthShape,Inceptisol,2015,Second Order,Perennial,
Lajas Experimental Station,18.02125,-67.0769,US affiliate,Unregistered,830 millimeters / year,25°C,"unconsolidated materials, carbonate, other sedimentary","Grassland/Herbaceous, Agriculture- Pasture, Agriculture- Crops",Tropical,Dry,NEON,Vertisol,1946,First Order,Ephemeral,Arrangment of Aquifer Components  - Two interconnected aquifers
Larzac Observatory,43.91,3.19,International CZO,Unregistered,750 millimeters / year,,carbonate,,,,"CRITEX, H+",,2006,,,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Lawrence Livermore National Laboratory SFA,37.688964,-121.71721,US affiliate,Unregistered,,,,,,,DOE,,2018,,,
Lenoir Landing,31.853773,-88.161978,US affiliate,Unregistered,,,,Deciduous Forest,,,NEON,,2018,,,
Lhasa Plateau Ecological Research Station,29.011111,91.176944,International affiliate,Unregistered,425 millimeters / year,8°C,,"Shrubland, Grassland/Herbaceous, Agriculture- Crops",,,CERN,,2017,,,
Litchfield Savanna,-13.147,130.771,International affiliate,Unregistered,1352 millimeters / year,27°C,sandstone,Unknown,,,TERN,Alfisol,2013,,,
Little River Experimental Watershed,31.450463,-83.508497,TBD,Unregistered,1200 millimeters / year,19°C,carbonate,"Deciduous Forest, Agriculture- Pasture, Agriculture- Crops",Temperate,Subhumid,ARS,Ultisol,1967,Fifth Order,Perennial,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Little Washita River/Fort Cobb Reservoir Experimental Watersheds,35.538691,-97.957165,TBD,Unregistered,760 millimeters / year,16°C,"sandstone, other sedimentary","Grassland/Herbaceous, Agriculture- Pasture, Agriculture- Crops",Temperate,Subhumid,"ARS, LTAR","Alfisol, Mollisol",1936,Fourth Order,Perennial,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Liudaogou watershed,38.777222,110.380556,International affiliate,Registered,437 millimeters / year,17°C,,Developed- Low,Temperate,Semiarid,CERN,Unknown,2016,Unknown,,
Loch Vale,40.3,-105.666667,US affiliate,Unregistered,110 millimeters / year,,"other sedimentary, igneous-felsic intrusive","Perennial Ice/Snow, Barren Land, Mixed Forest, Open Water",,,WEBB,"Alfisol, Entisol, Histosol, Inceptisol",1981,Third Order,Perennial,
Loess Plateau CZO,34.116407,109.144606,International CZO,Unregistered,,,unconsolidated materials,"Grassland/Herbaceous, Agriculture- Crops",,Semiarid,NERC-NSFC,Unknown,2017,,,
Lönnstorp Research Station,55.66917,13.1027,TBD,Unregistered,200 millimeters / year,,,Agriculture- Crops,,,SITES,,1969,,,
Lopé National Park CZO,-0.732395,11.601563,International CZO,Unregistered,1500 millimeters / year,25°C,"meta-igneous, metasediments","Evergreen Forest, Mixed Forest, Grassland/Herbaceous",Tropical,Humid,None,Oxisol,2016,,Perennial,
Lower Chesapeake Bay,39.023887,-76.923264,US affiliate,Unregistered,1100 millimeters / year,13°C,unconsolidated materials,"Mixed Forest, Agriculture- Pasture, Agriculture- Crops, Herbaceous Wetlands",Temperate,Humid,ARS,Ultisol,1910,,Perennial,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Lower Mississipi River Basin- Beasley Lake,33.4041,-90.668,US affiliate,Unregistered,1310 millimeters / year,18°C,igneous-felsic extrusive,Agriculture- Crops,Temperate,Humid,"ARS, LTAR","Alfisol, Inceptisol, Vertisol",1995,,Perennial,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Lower Mississipi River Basin- Goodwin Creek,34.2547,-89.8735,US affiliate,Unregistered,1358 millimeters / year,16°C,unconsolidated materials,"Mixed Forest, Shrubland, Agriculture- Pasture, Agriculture- Crops",Temperate,Humid,"ARS, LTAR","Alfisol, Entisol",1977,Third Order,Perennial,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Luancheng Agricultural Ecological Station,37.883333,114.683333,International affiliate,Unregistered,536 millimeters / year,12°C,,Unknown,,,CERN,,2017,,,
Luquillo CZO,18.372919,-65.719129,NSF funded CZO,Registered,3000 millimeters / year,21°C,"igneous-felsic intrusive, igneous-ultramafic extrusive, meta-igneous","Developed- Low, Deciduous Forest",Tropical,Humid,"CZO, LTER, LTSE, USFS, WEBB","Inceptisol, Oxisol, Ultisol",2015,First Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer, Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Lysina CZO - Kladska Lake ,50.05,12.666667,International CZO,Unregistered,980 millimeters / year,5°C,"igneous-felsic intrusive, other metamorphic",Evergreen Forest,,,SoilTrEC,Spodosol,2016,,"Perennial, Ephemeral",
Main Range Critical Zone Observatory,-28.229056,152.425931,International affiliate,Registered,1350 millimeters / year,15°C,"shale, sandstone, igneous-mafic extrusive","Evergreen Forest, Grassland/Herbaceous",Tropical,Humid,CZO Affiliate,Oxisol,2013,First Order,Ephemeral,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Majorca Observatory,39.41,2.95,International CZO,Unregistered,,,carbonate,Agriculture- Pasture,,,"CRITEX, H+",,2002,,,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Maybeso Experimental Forest,55.486944,-132.666389,US affiliate,Registered,,,,Unknown,,,USFS,,1956,,,
Mayotte,-15.074952,44.648438,International affiliate,Unregistered,1400 millimeters / year,25°C,igneous-mafic extrusive,"Developed- Low, Deciduous Forest, Agriculture- Crops",Tropical,,Independent,Andisol,2012,,,
McMurdo Dry Valleys LTER,-77,162.52,US affiliate,Unregistered,100 millimeters / year,-22°C,"unconsolidated materials, other sedimentary, other igneous","Perennial Ice/Snow, Barren Land",Polar,,"LTER, LTSE",Gelisol,1992,Second Order,Ephemeral,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Mezquital Valley,19.7575,-98.945,International CZO,Registered,640 millimeters / year,17°C,other igneous,Agriculture- Crops,Temperate,Semiarid,LTSE,"Mollisol, Vertisol",1990,Second Order,Perennial,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Moab,38.24833,-109.38827,US affiliate,Unregistered,660 millimeters / year,12°C,sandstone,Barren Land,Mediterranean,Dry,NEON,Aridisol,2014,First Order,Intermittent,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Mo'orea Coral Reef LTER,-17.490849,-149.826119,US affiliate,Unregistered,1330 millimeters / year,26°C,"igneous-mafic extrusive, other igneous",Open Water,Tropical,,LTER,Unknown,2004,,,
Mountain Lake Biological Station,37.37828,-80.52484,US affiliate,Unregistered,1436 millimeters / year,8°C,"shale, sandstone, carbonate","Deciduous Forest, Mixed Forest",Temperate,Humid,"Independent, NEON","Entisol, Ultisol",1970,Fourth Order,Perennial,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
M-TROPICS/BVET - Cameroon,3.43,11.28,International CZO,Registered,1680 millimeters / year,25°C,igneous-mafic intrusive,Evergreen Forest,Tropical,Humid,"CRITEX, LTER, OZCAR, RBV, WEBB",Oxisol,2000,"First Order, Second Order, Third Order","Perennial, Intermittent",Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
M-TROPICS/BVET - India ,11.73,76.45,International CZO,Registered,1100 millimeters / year,27°C,shale,"Deciduous Forest, Agriculture- Crops",Tropical,"Semiarid, Subhumid","CRITEX, LTER, RBV","Oxisol, Vertisol",2001,,Ephemeral,
M-TROPICS/MSEC - Laos,19.5117,102.107,International CZO,Registered,1268 millimeters / year,25°C,"sandstone, igneous-felsic intrusive, metasediments","Mixed Forest, Agriculture- Crops",Tropical,Subhumid,"CRITEX, LTER, OZCAR, RBV","Alfisol, Entisol, Inceptisol, Ultisol",1996,,Perennial,
M-TROPICS/MSEC - Thailand ,18.1333,100.237,International CZO,Registered,1072 millimeters / year,27°C,"shale, sandstone",Agriculture- Crops,Tropical,Subhumid,"CRITEX, LTER, OZCAR, RBV","Alfisol, Inceptisol",1999,,Intermittent,
M-TROPICS/MSEC - Vietnam ,20.5767,105.292,International CZO,Registered,1502 millimeters / year,21°C,metasediments,"Shrubland, Grassland/Herbaceous",Tropical,,"CRITEX, LTER, OZCAR, RBV",Ultisol,1999,,Perennial,
Nahuelbuta,-37.774767,-72.971191,International affiliate,Registered,1500 millimeters / year,,igneous-felsic intrusive,Mixed Forest,Mediterranean,Humid,EarthShape,"Andisol, Inceptisol",2015,Second Order,Perennial,
Newfoundland and Labrador Boreal Ecosystem Latitudinal Transect,51.367457,-55.814643,Independent,Registered,1500 millimeters / year,5°C,"shale, sandstone, igneous-felsic intrusive",Deciduous Forest,Boreal,Humid,Independent,Spodosol,2008 to 2017,,Perennial,
Niwot Ridge,39.993,-105.375,US affiliate,Unregistered,800 millimeters / year,2°C,,"Barren Land, Evergreen Forest",,,"LTER, NEON",Gelisol,1980,,,
"North Sterling, CO",40.4619,-103.0293,US affiliate,Unregistered,420 millimeters / year,9°C,unconsolidated materials,Agriculture- Crops,Temperate,Dry,NEON,Mollisol,1985,,,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
North Temperate Lakes LTER,46.0124,-89.672,US affiliate,Unregistered,811 millimeters / year,5°C,"unconsolidated materials, other igneous","Deciduous Forest, Open Water",Temperate,Humid,"LTER, WEBB",Histosol,1981,Second Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
North Wyke Farm Platform,50.769498,-3.901305,Independent,Registered,1056 millimeters / year,10°C,"shale, sandstone",Agriculture- Pasture,Temperate,,None,Mollisol,2011,"First Order, Second Order",Perennial,
Northern Great Basin Experimental Range,43.4908,-119.7083,TBD,Unregistered,282 millimeters / year,8°C,"unconsolidated materials, other sedimentary, igneous-felsic intrusive","Evergreen Forest, Shrubland, Grassland/Herbaceous",Mediterranean,Dry,ARS,Mollisol,1912,,,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Northern Great Plains Research Laboratory,46.811721,-100.910952,TBD,Unregistered,410 millimeters / year,4°C,unconsolidated materials,"Grassland/Herbaceous, Agriculture- Pasture, Agriculture- Crops",Temperate,Semiarid,"ARS, NEON",Mollisol,1912,,Perennial,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Oak Ridge National Laboratory,35.96412,-84.2826,US affiliate,Unregistered,1510 millimeters / year,15°C,"carbonate, other sedimentary","Developed- Low, Deciduous Forest, Agriculture- Pasture",Temperate,Humid,"DOE, NEON",Ultisol,1943,First Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
ObsErA — Bras-David,16.17602,-61.69324,International CZO,Unregistered,2900 millimeters / year,25°C,,"Deciduous Forest, Woody Wetlands",Tropical,,"CRITEX, RBV",,2011,,Perennial,
OHM-CV,44.1301,3.6673,International affiliate,Unregistered,,,shale,Mixed Forest,Mediterranean,,"OZCAR, RBV",,2008,,,
OMERE- Kamech,36.8714,10.86889,International affiliate,Unregistered,640 millimeters / year,18°C,unconsolidated materials,Agriculture- Crops,Mediterranean,,"OZCAR, RBV",Vertisol,1994,,Intermittent,
OMERE- Roujan,43.4919,3.32138,International affiliate,Unregistered,650 millimeters / year,15°C,unconsolidated materials,Agriculture- Crops,Mediterranean,Subhumid,"LTER, RBV",,1992,,Intermittent,
Onaqui- Ault,40.17759,-112.45244,TBD,Unregistered,311 millimeters / year,10°C,other sedimentary,Grassland/Herbaceous,Mediterranean,Dry,NEON,Mollisol,2015,First Order,Intermittent,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Ordway- Swisher Biological Station,29.68927,-81.99343,TBD,Unregistered,1432 millimeters / year,20°C,carbonate,"Evergreen Forest, Herbaceous Wetlands",Temperate,Subhumid,NEON,Entisol,1982,,,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Pacific Northwest National Laboratory SFA,46.345175,-119.279809,US affiliate,Unregistered,,,,,,,DOE,,2018,,,
Palmer Antarctica LTER,-64.77417,-64.0545,US affiliate,Unregistered,679 millimeters / year,-4°C,"sandstone, other sedimentary",Open Water,Polar,,LTER,Unknown,1965,,,
Pan de Azucar,-25.883333,-70.483333,International affiliate,Registered,50 millimeters / year,6°C,igneous-felsic intrusive,Barren Land,,Arid,EarthShape,"Aridisol, Entisol, Inceptisol",2015,,Ephemeral,
Panola Mountain,33.6354,-84.1702,US affiliate,Unregistered,1240 millimeters / year,16°C,igneous-felsic intrusive,Evergreen Forest,,Humid,WEBB,"Entisol, Inceptisol, Ultisol",1984,,Ephemeral,
Peri-Urban CZO,29.907938,121.813502,International CZO,Unregistered,,,,"Developed- High, Agriculture- Crops",,,,,,,,
Ploemeur Observatory,47.74,-3.43,International CZO,Unregistered,900 millimeters / year,,igneous-felsic intrusive,"Developed- Low, Agriculture- Pasture, Agriculture- Crops",,,"CRITEX, H+",,2002,,,Arrangment of Aquifer Components  - Two interconnected aquifers
Pluhuv Bor,50.033333,12.663889,International CZO,Unregistered,850 millimeters / year,6°C,igneous-ultramafic intrusive,Evergreen Forest,,,"Independent, SoilTrEC Affiliate",Spodosol,1992,,,
Plum Island Ecosystems LTER,42.759,-70.891,US affiliate,Unregistered,1188 millimeters / year,-4°C,unconsolidated materials,"Developed- High, Deciduous Forest, Woody Wetlands",Temperate,Humid,LTER,Entisol,1992,,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Poitiers Observatory,46.59,0.35,International CZO,Unregistered,750 millimeters / year,,"carbonate, igneous-felsic intrusive",Developed- Low,,,"CRITEX, H+",,2002,,,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Puding Karst Ecosystem Research Station,26.936767,107.137016,International CZO,Unregistered,1378 millimeters / year,15°C,carbonate,"Developed- Low, Deciduous Forest, Evergreen Forest, Mixed Forest, Shrubland, Agriculture- Pasture, Agriculture- Crops",Temperate,Subhumid,"CERN, NERC-NSFC",Ultisol,1990,Third Order,Ephemeral,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Punch Bowl (PB) CZO,38.291149,128.142069,International affiliate,Registered,2103 millimeters / year,8°C,"igneous-felsic intrusive, metasediments","Mixed Forest, Agriculture- Crops",Temperate,Subhumid,None,"Inceptisol, Unknown",2014 to 2018,"First Order, Second Order, Third Order",Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Pu'u Maka'ala Natural Area Reserve,19.55309,-155.31731,US affiliate,Unregistered,2284 millimeters / year,14°C,"igneous-mafic extrusive, igneous-mafic intrusive",Evergreen Forest,,,NEON,"Andisol, Histosol",2014,,,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Qianyanzhou Agricultural Experimental Station,26.733333,115.066667,International affiliate,Unregistered,1360 millimeters/year,18°C,,"Evergreen Forest, Shurbland, Agriculture- Crops",,,CERN,,2016,,,
R.J. Cook Agronomy Farm,46.72878,-117.154274,TBD,Unregistered,550 millimeters / year,10°C,"unconsolidated materials, igneous-mafic extrusive",Agriculture- Crops,Temperate,Subhumid,ARS,Mollisol,2000,Third Order,Intermittent,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Red Soil CZO,28.2058,116.9283,International CZO,Unregistered,1785 millimeters / year,18°C,other sedimentary,"Evergreen Forest, Grassland/Herbaceous, Agriculture- Crops",,,NERC-NSFC,Ultisol,2001,,,
Reynolds Creek CZO,43.190158,-116.708461,NSF funded CZO,Registered,250 millimeters / year,6°C,"unconsolidated materials, igneous-felsic extrusive, igneous-felsic intrusive",Grassland/Herbaceous,Mediterranean,Dry,CZO,"Aridisol, Entisol, Mollisol",2015,First Order,Intermittent,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Röbäcksdalen research station,63.81083,20.24199,TBD,Unregistered,,,,"Agriculture- Pasture, Agriculture- Crops",Boreal,,SITES,,2018,,,
San Claudio Farm,-35.9574,-61.2049,International affiliate,Unregistered,870 millimeters / year,16°C,unconsolidated materials,"Grassland/Herbaceous, Agriculture- Crops, Herbaceous Wetlands, Open Water",Temperate,Subhumid,Independent,"Entisol, Mollisol",2016,,,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
San Joaquin Experimental Range,37.10878,-119.73228,US affiliate,Unregistered,486 millimeters / year,17°C,igneous-felsic intrusive,"Mixed Forest, Shrubland, Grassland/Herbaceous",Mediterranean,Dry,"CZO Affiliate, NEON, USFS","Alfisol, Mollisol",1934,First Order,Intermittent,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
"Santa Barbara Coastal Ecosystem, California",34.4125,-119.8422,US affiliate,Unregistered,463 millimeters / year,15°C,"unconsolidated materials, shale, sandstone, other sedimentary","Developed- Low, Deciduous Forest, Woody Wetlands, Open Water",Mediterranean,Dry,LTER,"Entisol, Mollisol",2000,,Perennial,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Santa Clotilde,38.12,-4.17,International CZO,Registered,596 millimeters / year,15°C,igneous-felsic intrusive,"Mixed Forest, Shrubland, Grassland/Herbaceous, Agriculture- Pasture",Mediterranean,,"None, Independent","Alfisol, Inceptisol",2012 to 2018,"First Order, Second Order, Third Order",Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Santa Gracia,-29.759569,-71.141968,International affiliate,Registered,100 millimeters / year,,igneous-felsic intrusive,Shrubland,Temperate,,EarthShape,"Entisol, Inceptisol",2015,,Ephemeral,
Santa Rita Experimental Watersheds,31.833418,-110.852864,US affiliate,Unregistered,210 millimeters / year,16°C,"carbonate, other sedimentary, igneous-felsic intrusive","Shrubland, Grassland/Herbaceous",Temperate,Dry,"ARS, CUAHSI, NEON","Aridisol, Entisol, Mollisol",1975,,,
Selke CZO,51.681322,11.244617,International CZO,Unregistered,600 millimeters / year,5°C,unconsolidated materials,"Deciduous Forest, Agriculture- Crops",,,TERENO,Alfisol,2008,,,
SEQ Peri-urban SuperSite - Karawatha,-27.633,153.083,International affiliate,Unregistered,1397 millimeters / year,21°C,other sedimentary,Evergreen Forest,,,TERN,,2007,,,
Sevilleta LTER,34.353,-106.882,US affiliate,Unregistered,250 millimeters / year,13°C,"carbonate, other sedimentary","Barren Land, Shrubland",Mediterranean,Semiarid,LTER,Aridisol,1988,,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Shale Transect- Plynlimon,52.514,-3.821,International CZO,Registered,2500 millimeters / year,7°C,shale,Unknown,,,"CZO Affiliate, SoilTrEC",Spodosol,1979,,,
Shenyang Experimental Station,41.516667,123.4,International affiliate,Unregistered,630 millimeters / year,8°C,,Agriculture- Crops,Temperate,,CERN,,1990,,,
"Shortgrass Steppe, Colorado",40.827,-104.724,US affiliate,Unregistered,320 millimeters / year,9°C,"sandstone, other sedimentary","Shrubland, Grassland/Herbaceous, Agriculture- Pasture",Temperate,Semiarid,LTER,"Aridisol, Entisol, Mollisol",1982 to 2014,Second Order,Perennial,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Skogaryd Research Station,58.383333,12.15,TBD,Unregistered,,,,,,,SITES,,2013,,,
Sleepers River ,44.483333,-72.15,US affiliate,Unregistered,1100 millimeters / year,6°C,igneous-felsic intrusive,"Mixed Forest, Agriculture- Pasture, Agriculture- Crops",,,WEBB,Inceptisol,1958,Third Order,Perennial,
Smithsonian Conservation Biology Institute,38.891613,-78.139038,US affiliate,Unregistered,,,,Deciduous Forest,,,"Independent, NEON",,1974,,,
Smithsonian Environmental Research Center,38.89008,-76.56001,US affiliate,Unregistered,,,,,,,"Independent, NEON",,1965,,,
SO HYBAM,-6,-60,International CZO,Unregistered,2460 millimeters / year,25°C,"unconsolidated materials, other sedimentary, meta-igneous","Mixed Forest, Open Water",,,"CRITEX, OZCAR, RBV",Unknown,2003,,Perennial,
Soaproot Saddle,37.03337,-119.26219,US affiliate,Unregistered,805 millimeters / year,,igneous-felsic intrusive,Evergreen Forest,,,"CZO Affiliate, NEON",,2018,,,
Southern Plains Research Station ,36.6,-99.583,TBD,Unregistered,609 millimeters / year,14°C,"shale, sandstone",Grassland/Herbaceous,Temperate,Subhumid,ARS,Entisol,1914,Third Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Southern Sierra CZO,37.060067,-119.190727,NSF funded CZO,Registered,1200 millimeters / year,8°C,igneous-felsic intrusive,"Evergreen Forest, Shrubland, Grassland/Herbaceous",Mediterranean,Humid,CZO,"Alfisol, Entisol, Histosol, Inceptisol",2015,First Order,Perennial,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Strengbach catchment - OHGE,48.2,7.183333,International CZO,Unregistered,1400 millimeters / year,6°C,igneous-felsic intrusive,Evergreen Forest,Temperate,,"CRITEX, SoilTrEC",Inceptisol,1986,,,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Susquehanna Shale Hills CZO,40.666786,-77.902764,NSF funded CZO,Registered,1050 millimeters / year,10°C,"shale, sandstone, carbonate","Deciduous Forest, Agriculture- Pasture",Temperate,Humid,CZO,"Alfisol, Inceptisol, Ultisol",2007,First Order,Ephemeral,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Svartberget Research Station,64.24434,19.76646,TBD,Unregistered,,,igneous-felsic intrusive,Evergreen Forest,Boreal,,SITES,,1923,,,
Talledega National Forest,32.95046,-87.39327,US affiliate,Unregistered,1346 millimeters / year,16°C,shale,Evergreen Forest,Temperate,Humid,NEON,Ultisol,1936,First Order,Perennial,Arrangment of Aquifer Components  - Two interconnected aquifers
Taoyuan Agricultural Ecological Station,28.916667,111.45,International affiliate,Unregistered,,,,Unknown,,,CERN,,1978,,,
Tarfala Research Station,68.35,18.816667,TBD,Unregistered,,-4°C,,"Perennial Ice/Snow, Open Water",Polar,,SITES,Gelisol,2018,,,
Teakettle Experimental Forest,37.00583,-119.00602,US affiliate,Unregistered,1250 millimeters / year,8°C,igneous-felsic intrusive,"Evergreen Forest, Shrubland",Mediterranean,Dry,"NEON, USFS","Entisol, Inceptisol",1938,Second Order,Perennial,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Toolik Field Station,68.66109,-149.37047,US affiliate,Unregistered,330 millimeters / year,-9°C,"unconsolidated materials, other sedimentary","Perennial Ice/Snow, Barren Land, Shrubland",Polar,,"LTSE, NEON",,1979,Fourth Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
TUM CZO,47.708922,11.111431,International CZO,Unregistered,1350 millimeters / year,6°C,"unconsolidated materials, carbonate, igneous-felsic intrusive, meta-igneous","Perennial Ice/Snow, Deciduous Forest, Grassland/Herbaceous, Agriculture- Pasture, Agriculture- Crops",,,SoilTrEC,"Alfisol, Entisol",2011,,,
Tumbarumba Wet Eucalypt,-35.658,148.153,International affiliate,Unregistered,1274 millimeters / year,12°C,,Unknown,,,TERN,Unknown,2012,,,
Upper Chesapeake Bay Experimental Watersheds,40.805931,-77.860262,US affiliate,Unregistered,1080 millimeters / year,11°C,"shale, sandstone, other sedimentary","Deciduous Forest, Agriculture- Pasture, Agriculture- Crops",Temperate,Humid,"ARS, LTAR","Inceptisol, Ultisol",1966,Fourth Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Upper Colorado River Basin SFA,37.419579,-122.203156,US affiliate,Unregistered,,,,,,,DOE,,2018,,,
Upper Mississippi River Basin Experimental Watersheds,42.02995,-93.648423,US affiliate,Unregistered,750 millimeters / year,13°C,"carbonate, other sedimentary","Grassland/Herbaceous, Agriculture- Crops",Temperate,Humid,"ARS, LTAR",Mollisol,2015,,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
UWA CZO - Avon River Catchment ,-32.506389,116.991944,International CZO,Unregistered,445 millimeters / year,,other igneous,Agriculture- Crops,Mediterranean,,Independent,Alfisol,2013,,,
Valle della Gallina basin,45.6515,8.303261,International affiliate,Registered,1279 millimeters / year,12°C,other igneous,Deciduous Forest,Temperate,Humid,Independent,Entisol,1981,First Order,Intermittent,
Victorian Dry Eucalypt - Wombat,-37.4222,144.094,International affiliate,Unregistered,1000 millimeters / year,12°C,,Unknown,,,TERN,Unknown,2011,,,
Victorian Dry Eucalypt SuperSite - Whroo,-37.422,144.735,International affiliate,Unregistered,552 millimeters / year,12°C,other metamorphic,Evergreen Forest,Temperate,Dry,TERN,Unknown,2012,,,
Virginia Coast Reserve LTER,37.283,-75.913,US affiliate,Unregistered,1065 millimeters / year,14°C,"unconsolidated materials, other sedimentary","Agriculture- Crops, Woody Wetlands, Herbaceous Wetlands, Open Water",Temperate,Humid,LTER,"Entisol, Spodosol, Ultisol",1987,Third Order,Perennial,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Walnut Gulch Experimental Watershed,32.275681,-110.940842,US affiliate,Unregistered,350 millimeters / year,18°C,"carbonate, other sedimentary, igneous-felsic extrusive, igneous-felsic intrusive","Shrubland, Grassland/Herbaceous",Temperate,Semiarid,"ARS, CUAHSI",Aridisol,1953,Sixth Order,Ephemeral,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Warra Tall Eucalypt,-43.096,146.654,International affiliate,Unregistered,1378 millimeters / year,22°C,other sedimentary,Evergreen Forest,,,"LTER, TERN",Histosol,1998,,,
Western Ghats,14.887972,74.593048,International CZO,Registered,2807 millimeters / year,,other metamorphic,"Deciduous Forest, Evergreen Forest, Mixed Forest, Grassland/Herbaceous, Agriculture- Crops",Tropical,"Subhumid, Humid",CZO,Alfisol,2011 to 2015,"Second Order, Third Order","Perennial, Ephemeral",
Wind River Experimental Forest,45.820488,-121.951912,US affiliate,Unregistered,2540 millimeters / year,9°C,igneous-felsic extrusive,Evergreen Forest,Temperate,Ultrahyperhumid,"NEON, USFS",Andisol,1932,Fifth Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Woodworth Field Station,47.128228,-99.241356,US affiliate,Unregistered,437 millimeters / year,4°C,other sedimentary,"Shrubland, Grassland/Herbaceous",Temperate,Subhumid,NEON,Mollisol,1963,,,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
